"tf","fam","target","dna_binding.conservation","dna_binding.dapSeq","coDiffExp_0PF","coDiffExp_P0F","coDiffExp_0P0F","coDiffExp","p.rf","rank","mode_of_regulation"
"AT5G54230","MYB","AT4G34450",0,1,0,0,0,0,0.962062848347851,1.96206284834785,"repression"
"AT3G16280","AP2/ERF-ERF","AT1G23300",0,1,0,0,0,0,0.961983166070448,1.96198316607045,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G16340",0,1,0,0,0,0,0.961949615637857,1.96194961563786,"repression"
"AT3G16280","AP2/ERF-ERF","AT3G60800",0,1,0,0,0,0,0.961777669670828,1.96177766967083,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G02840",0,1,0,0,0,0,0.96166024315676,1.96166024315676,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G64630",0,1,0,0,0,0,0.961656049352686,1.96165604935269,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G02650",0,1,0,0,0,0,0.961559591858988,1.96155959185899,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G21160",0,1,0,0,0,0,0.961534429034544,1.96153442903454,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G15270",0,1,0,0,0,0,0.961341514047147,1.96134151404715,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G18410",0,1,0,0,0,0,0.961328932634925,1.96132893263493,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G32860",0,1,0,0,0,0,0.961299576006408,1.96129957600641,"activation"
"AT5G54230","MYB","AT5G23710",0,1,0,0,0,0,0.961215699924931,1.96121569992493,"repression"
"AT3G16280","AP2/ERF-ERF","AT3G48570",0,1,0,0,0,0,0.961177955688266,1.96117795568827,"activation"
"AT5G07700","MYB","AT2G24850",0,0,0,0,1,1,0.96112763003938,1.96112763003938,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G09720",0,1,0,0,0,0,0.961098273410863,1.96109827341086,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G61430",0,1,0,0,0,0,0.961039560153829,1.96103956015383,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G10840",0,1,0,0,0,0,0.961014397329386,1.96101439732939,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G14360",0,1,0,0,0,0,0.96083406375421,1.96083406375421,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G18230",0,1,0,0,0,0,0.960817288537914,1.96081728853791,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G15820",0,1,0,0,0,0,0.960725024848289,1.96072502484829,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G12920",0,1,0,0,0,0,0.960636954962738,1.96063695496274,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G00530",0,1,0,0,0,0,0.960632761158664,1.96063276115866,"repression"
"AT5G54230","MYB","AT1G47330",0,1,0,0,0,0,0.960561466489409,1.96056146648941,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G20680",0,1,0,0,0,0,0.960418877150897,1.9604188771509,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G67070",0,1,0,0,0,0,0.960217574555352,1.96021757455535,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G21880",0,1,0,0,0,0,0.960213380751278,1.96021338075128,"activation"
"AT5G54230","MYB","AT2G39380",0,1,0,0,0,0,0.960184024122761,1.96018402412276,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G24330",0,1,0,0,0,0,0.960167248906466,1.96016724890647,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G38730",0,1,0,0,0,0,0.960158861298318,1.96015886129832,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G23120",0,1,0,0,0,0,0.960129504669801,1.9601295046698,"repression"
"AT3G16280","AP2/ERF-ERF","AT5G25570",0,1,0,0,0,0,0.960108535649432,1.96010853564943,"repression"
"AT3G16280","AP2/ERF-ERF","AT5G60820",0,1,0,0,0,0,0.960028853372028,1.96002885337203,"activation"
